n,Static Array,Dynamic Array,Singly Linked List,Doubly Linked List
1000,0.00029158592224121094,0.0004665851593017578,8.058547973632812e-05,0.00010228157043457031
10000,0.019763469696044922,0.0647120475769043,0.0006337165832519531,0.0005517005920410156
15000,0.0958554744720459,0.36002612113952637,0.0009613037109375,0.0008497238159179688
20000,0.31906747817993164,0.9065868854522705,0.0011608600616455078,0.0010349750518798828
25000,0.5743229389190674,1.8938789367675781,0.0013866424560546875,0.0013110637664794922
30000,1.074467658996582,3.3077611923217773,0.0016934871673583984,0.0018050670623779297
