n,Static Array,Dynamic Array,Singly Linked List,Doubly Linked List
1000,6.4849853515625e-05,4.839897155761719e-05,0.00010037422180175781,6.031990051269531e-05
10000,0.0006787776947021484,0.00047278404235839844,0.0013158321380615234,0.0013649463653564453
15000,0.0012705326080322266,0.0006911754608154297,0.0030019283294677734,0.0030813217163085938
20000,0.001516103744506836,0.0009083747863769531,0.005544900894165039,0.0053958892822265625
25000,0.0016841888427734375,0.0011353492736816406,0.009023189544677734,0.009403467178344727
30000,0.0021142959594726562,0.0013282299041748047,0.01451873779296875,0.014065265655517578
