n,Static Array,Dynamic Array,Singly Linked List,Doubly Linked List
1000,0.0005214214324951172,0.0005974769592285156,0.0006556510925292969,0.0006611347198486328
10000,0.023516178131103516,0.07348847389221191,0.06379389762878418,0.055084228515625
15000,0.11631512641906738,0.3834414482116699,0.11642622947692871,0.1152334213256836
20000,0.3047819137573242,0.9843728542327881,0.20019817352294922,0.20113873481750488
25000,0.6107890605926514,1.9910502433776855,0.32950472831726074,0.3341524600982666
30000,1.1231005191802979,3.4553122520446777,0.5135424137115479,0.4534299373626709
