n,Static Array,Dynamic Array,Singly Linked List,Doubly Linked List
1000,0.00014925003051757812,9.465217590332031e-05,6.890296936035156e-05,7.343292236328125e-05
10000,0.0013194084167480469,0.0006151199340820312,0.0006392002105712891,0.0005259513854980469
15000,0.002038717269897461,0.000743865966796875,0.0007321834564208984,0.0006854534149169922
20000,0.0026938915252685547,0.0011224746704101562,0.0012078285217285156,0.0009887218475341797
25000,0.0034956932067871094,0.0017192363739013672,0.0012714862823486328,0.0014395713806152344
30000,0.004512786865234375,0.0016422271728515625,0.0015957355499267578,0.0018093585968017578
