n,Static Array,Dynamic Array,Singly Linked List,Doubly Linked List
1000,0.0001773834228515625,0.0001068115234375,9.036064147949219e-05,7.987022399902344e-05
10000,0.0019435882568359375,0.0006585121154785156,0.0005903244018554688,0.0005624294281005859
15000,0.0025424957275390625,0.0011141300201416016,0.0009367465972900391,0.0008959770202636719
20000,0.0038771629333496094,0.0013840198516845703,0.001331329345703125,0.0011115074157714844
25000,0.004896402359008789,0.0012791156768798828,0.0013811588287353516,0.001504659652709961
30000,0.0058441162109375,0.0014367103576660156,0.001592874526977539,0.0016481876373291016
